ADDRESSLINE1,CITY,CONTACTFIRSTNAME,CONTACTLASTNAME,COUNTRY,CUSTOMERNAME,DEALSIZE,MONTH_ID,MSRP,ORDERDATE,ORDERLINENUMBER,ORDERNUMBER,PHONE,PRICEEACH,PRODUCTCODE,PRODUCTLINE,QTR_ID,QUANTITYORDERED,SALES,STATUS,TERRITORY2,YEAR_ID
"67, rue des Cinquante Otages",Nantes,Janine,Labrune,France,La Rochelle Gifts,Medium,7,95,7/23/2004 0:00,1,10275,40.67.8555,92.83,S10_1678,Motorcycles,3,45,4177.35,Shipped,EMEA,2004
39323 Spinnaker Dr.,Cambridge,Marta,Hernandez,USA,Marta's Replicas Co.,Medium,8,95,8/27/2004 0:00,6,10285,6175558555,100.0,S10_1678,Motorcycles,3,36,4099.68,Shipped,NORTHAME,2004
Keskuskatu 45,Helsinki,Matti,Karttunen,Finland,"Toys of Finland, Co.",Small,9,95,9/30/2004 0:00,9,10299,90-224 8555,100.0,S10_1678,Motorcycles,3,23,2597.39,Shipped,EMEA,2004
Erling Skakkes gate 78,Stavern,Jonas,Bergulfsen,Norway,Baane Mini Imports,Medium,10,95,10/15/2004 0:00,5,10309,07-98 9555,100.0,S10_1678,Motorcycles,4,41,4394.38,Shipped,EMEA,2004
7586 Pompton St.,Allentown,Kyung,Yu,USA,Diecast Classics Inc.,Medium,11,95,11/2/2004 0:00,1,10318,2155551555,94.74,S10_1678,Motorcycles,4,46,4358.04,Shipped,NORTHAME,2004
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Medium,11,95,11/15/2004 0:00,1,10329,2125557818,100.0,S10_1678,Motorcycles,4,42,4396.14,Shipped,NORTHAME,2004
Geislweg 14,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Large,11,95,11/24/2004 0:00,9,10341,6562-9555,100.0,S10_1678,Motorcycles,4,41,7737.93,Shipped,EMEA,2004
"Monitor Money Building, 815 Pacific Hwy",Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Small,12,95,12/17/2004 0:00,13,10361,+61 2 9495 8555,72.55,S10_1678,Motorcycles,4,20,1451.0,Shipped,AUSTRALIA,2004
"67, rue des Cinquante Otages",Nantes,Janine,Labrune,France,La Rochelle Gifts,Small,2,95,2/3/2005 0:00,12,10375,40.67.8555,34.91,S10_1678,Motorcycles,1,21,733.11,Shipped,EMEA,2005
1785 First Street,New Bedford,Violeta,Benitez,USA,FunGiftIdeas.com,Medium,3,95,3/3/2005 0:00,4,10388,5085552555,76.36,S10_1678,Motorcycles,1,42,3207.12,Shipped,NORTHAME,2005
Berkeley Gardens 12  Brewery,Liverpool,Elizabeth,Devon,UK,"UK Collectables, Ltd.",Small,4,95,4/8/2005 0:00,7,10403,(171) 555-2282,100.0,S10_1678,Motorcycles,2,24,2434.56,Shipped,EMEA,2005
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Large,5,95,5/13/2005 0:00,2,10417,(91) 555 94 44,100.0,S10_1678,Motorcycles,2,66,7516.08,Disputed,EMEA,2005
Erling Skakkes gate 78,Stavern,Jonas,Bergulfsen,Norway,Baane Mini Imports,Medium,1,214,1/29/2003 0:00,11,10103,07-98 9555,100.0,S10_1949,Classic Cars,1,26,5404.62,Shipped,EMEA,2003
Berguvsvgen  8,Lule,Christina,Berglund,Sweden,"Volvo Model Replicas, Co",Large,3,214,3/24/2003 0:00,1,10112,0921-12 3555,100.0,S10_1949,Classic Cars,1,29,7209.11,Shipped,EMEA,2003
"C/ Araquil, 67",Madrid,Mart¡n,Sommer,Spain,"Corrida Auto Replicas, Ltd",Large,5,214,5/28/2003 0:00,11,10126,(91) 555 22 82,100.0,S10_1949,Classic Cars,2,38,7329.06,Shipped,EMEA,2003
9408 Furth Circle,Burlingame,Juri,Hirano,USA,Technics Stores Inc.,Large,7,214,7/24/2003 0:00,11,10140,6505556809,100.0,S10_1949,Classic Cars,3,37,7374.1,Shipped,NORTHAME,2003
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.",Large,9,214,9/19/2003 0:00,8,10150,+65 221 7555,100.0,S10_1949,Classic Cars,3,45,10993.5,Shipped,ASIA,2003
5905 Pompton St.,NYC,Maria,Hernandez,USA,Classic Legends Inc.,Medium,10,214,10/20/2003 0:00,1,10163,2125558493,100.0,S10_1949,Classic Cars,4,21,4860.24,Shipped,NORTHAME,2003
31 Duncan St. West End,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co",Large,11,214,11/6/2003 0:00,4,10174,61-7-3844-6555,100.0,S10_1949,Classic Cars,4,34,8014.82,Shipped,AUSTRALIA,2003
782 First Street,Philadelphia,Francisca,Cervantes,USA,"Classic Gift Ideas, Inc",Medium,11,214,11/13/2003 0:00,8,10183,2155554695,100.0,S10_1949,Classic Cars,4,23,5372.57,Shipped,NORTHAME,2003
"2, rue du Commerce",Lyon,Mary,Saveley,France,"Saveley & Henriot, Co.",Large,11,214,11/25/2003 0:00,11,10194,78.32.5555,100.0,S10_1949,Classic Cars,4,42,7290.36,Shipped,EMEA,2003
1900 Oak St.,Vancouver,Yoshi,Tannamuri,Canada,Canadian Gift Exchange Network,Large,12,214,12/5/2003 0:00,6,10206,(604) 555-3392,100.0,S10_1949,Classic Cars,4,47,9064.89,Shipped,NORTHAME,2003
3675 Furth Circle,Burbank,Steve,Thompson,USA,West Coast Collectables Co.,Medium,1,214,1/29/2004 0:00,3,10215,3105553722,100.0,S10_1949,Classic Cars,1,35,6075.3,Shipped,NORTHAME,2004
4658 Baden Av.,Cambridge,Kyung,Tseng,USA,Cambridge Collectables Co.,Medium,3,214,3/10/2004 0:00,2,10228,6175555555,100.0,S10_1949,Classic Cars,1,29,6463.23,Shipped,NORTHAME,2004
567 North Pendale Street,New Haven,Leslie,Murphy,USA,Super Scale Inc.,Medium,5,214,5/4/2004 0:00,9,10245,2035559545,100.0,S10_1949,Classic Cars,2,34,6120.34,Shipped,NORTHAME,2004
2-2-8 Roppongi,Minato-ku,Akiko,Shimamura,Japan,"Tokyo Collectables, Ltd",Large,6,214,6/15/2004 0:00,6,10258,+81 3 3584 0555,100.0,S10_1949,Classic Cars,2,32,7680.64,Shipped,ASIA,2004
"Monitor Money Building, 815 Pacific Hwy",Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Medium,7,214,7/19/2004 0:00,9,10270,+61 2 9495 8555,100.0,S10_1949,Classic Cars,3,21,4905.39,Shipped,AUSTRALIA,2004
Via Monte Bianco 34,Torino,Paolo,Accorti,Italy,Amica Models & Co.,Large,8,214,8/17/2004 0:00,2,10280,011-4988555,100.0,S10_1949,Classic Cars,3,34,8014.82,Shipped,EMEA,2004
?kergatan 24,Boras,Maria,Larsson,Sweden,Scandinavian Gift Ideas,Large,9,214,9/8/2004 0:00,11,10291,0695-34 6555,100.0,S10_1949,Classic Cars,3,37,7136.19,Shipped,EMEA,2004
"67, avenue de l'Europe",Versailles,Daniel,Tonini,France,Auto Assoc. & Cie.,Large,10,214,10/11/2004 0:00,6,10304,30.59.8555,100.0,S10_1949,Classic Cars,4,47,10172.7,Shipped,EMEA,2004
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Large,10,214,10/21/2004 0:00,3,10312,4155551450,100.0,S10_1949,Classic Cars,4,48,11623.7,Shipped,NORTHAME,2004
2304 Long Airport Avenue,Nashua,Valarie,Young,USA,Online Diecast Creations Co.,Medium,11,214,11/4/2004 0:00,1,10322,6035558647,100.0,S10_1949,Classic Cars,4,40,6000.4,Shipped,NORTHAME,2004
5557 North Pendale Street,San Francisco,Julie,Murphy,USA,Mini Wheels Co.,Medium,11,214,11/18/2004 0:00,3,10333,6505555787,100.0,S10_1949,Classic Cars,4,26,3003.0,Shipped,NORTHAME,2004
636 St Kilda Road,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.",Medium,11,214,11/29/2004 0:00,1,10347,03 9520 4555,100.0,S10_1949,Classic Cars,4,30,3944.7,Shipped,AUSTRALIA,2004
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Medium,12,214,12/10/2004 0:00,10,10357,4155551450,100.0,S10_1949,Classic Cars,4,32,5691.84,Shipped,NORTHAME,2004
7825 Douglas Av.,Brickhaven,Allen,Nelson,USA,Collectables For Less Inc.,Medium,1,214,1/20/2005 0:00,2,10369,6175558555,100.0,S10_1949,Classic Cars,1,41,4514.92,Shipped,NORTHAME,2005
7734 Strong St.,San Francisco,Julie,Brown,USA,Corporate Gift Ideas Co.,Large,2,214,2/17/2005 0:00,3,10381,6505551386,100.0,S10_1949,Classic Cars,1,36,8254.8,Shipped,NORTHAME,2005
201 Miller Street,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd",Small,3,214,3/9/2005 0:00,4,10391,02 9936 8555,100.0,S10_1949,Classic Cars,1,24,2416.56,Shipped,AUSTRALIA,2005
43 rue St. Laurent,Montreal,Jean,Fresnisre,Canada,Quebec Home Shopping Network,Medium,5,214,5/1/2005 0:00,9,10411,(514) 555-8054,100.0,S10_1949,Classic Cars,2,23,4140.23,Shipped,NORTHAME,2005
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Large,5,214,5/31/2005 0:00,6,10424,(91) 555 94 44,100.0,S10_1949,Classic Cars,2,50,12001.0,In Process,EMEA,2005
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Medium,2,118,2/24/2003 0:00,5,10107,2125557818,99.91,S10_2016,Motorcycles,1,39,3896.49,Shipped,NORTHAME,2003
636 St Kilda Road,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.",Small,4,118,4/29/2003 0:00,3,10120,03 9520 4555,96.34,S10_2016,Motorcycles,2,29,2793.86,Shipped,AUSTRALIA,2003
27 rue du Colonel Pierre Avia,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Medium,7,118,7/1/2003 0:00,5,10134,+33 1 46 62 7555,100.0,S10_2016,Motorcycles,3,27,3307.77,Shipped,EMEA,2003
78934 Hillside Dr.,Pasadena,Julie,Young,USA,Toys4GrownUps.com,Medium,8,118,8/25/2003 0:00,9,10145,6265557265,100.0,S10_2016,Motorcycles,3,37,5192.95,Shipped,NORTHAME,2003
7734 Strong St.,San Francisco,Julie,Brown,USA,Corporate Gift Ideas Co.,Medium,10,118,10/10/2003 0:00,17,10159,6505551386,100.0,S10_2016,Motorcycles,4,37,5016.83,Shipped,NORTHAME,2003
9408 Furth Circle,Burlingame,Juri,Hirano,USA,Technics Stores Inc.,Medium,10,118,10/28/2003 0:00,4,10168,6505556809,100.0,S10_2016,Motorcycles,4,27,3660.93,Shipped,NORTHAME,2003
"184, chausse de Tournai",Lille,Martine,Rance,France,Daedalus Designs Imports,Medium,11,118,11/11/2003 0:00,12,10180,20.16.1555,100.0,S10_2016,Motorcycles,4,42,4695.6,Shipped,EMEA,2003
"Drammen 121, PR 744 Sentrum",Bergen,Veysel,Oeztan,Norway,Herkku Gifts,Medium,11,118,11/18/2003 0:00,4,10188,+47 2267 3215,96.34,S10_2016,Motorcycles,4,38,3660.92,Shipped,EMEA,2003
5557 North Pendale Street,San Francisco,Julie,Murphy,USA,Mini Wheels Co.,Medium,12,118,12/1/2003 0:00,5,10201,6505555787,100.0,S10_2016,Motorcycles,4,24,3025.92,Shipped,NORTHAME,2003
"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Mory,Kentary,Japan,Osaka Souveniers Co.,Medium,1,118,1/12/2004 0:00,2,10210,+81 06 6342 5555,100.0,S10_2016,Motorcycles,1,23,3009.09,Shipped,ASIA,2004
636 St Kilda Road,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.",Medium,2,118,2/20/2004 0:00,4,10223,03 9520 4555,100.0,S10_2016,Motorcycles,1,47,5422.39,Shipped,AUSTRALIA,2004
11328 Douglas Av.,Philadelphia,Rosa,Hernandez,USA,Motor Mint Distributors Inc.,Small,4,118,4/3/2004 0:00,1,10236,2155559857,100.0,S10_2016,Motorcycles,2,22,2852.08,Shipped,NORTHAME,2004
7476 Moss Rd.,Newark,William,Brown,USA,Tekni Collectables Inc.,Medium,5,118,5/18/2004 0:00,5,10251,2015559350,100.0,S10_2016,Motorcycles,2,44,5756.52,Shipped,NORTHAME,2004
25593 South Bay Ln.,Bridgewater,Julie,King,USA,Gift Depot Inc.,Medium,6,118,6/28/2004 0:00,5,10263,2035552570,100.0,S10_2016,Motorcycles,2,40,4472.0,Shipped,NORTHAME,2004
"67, rue des Cinquante Otages",Nantes,Janine,Labrune,France,La Rochelle Gifts,Small,7,118,7/23/2004 0:00,4,10275,40.67.8555,100.0,S10_2016,Motorcycles,3,22,2904.44,Shipped,EMEA,2004
39323 Spinnaker Dr.,Cambridge,Marta,Hernandez,USA,Marta's Replicas Co.,Medium,8,118,8/27/2004 0:00,9,10285,6175558555,100.0,S10_2016,Motorcycles,3,47,6484.59,Shipped,NORTHAME,2004
"54, rue Royale",Nantes,Carine,Schmitt,France,Atelier graphique,Medium,9,118,9/27/2004 0:00,1,10298,40.32.2555,96.34,S10_2016,Motorcycles,3,39,3757.26,Shipped,EMEA,2004
3758 North Pendale Street,White Plains,Steve,Frick,USA,Mini Classics,Medium,10,118,10/15/2004 0:00,2,10308,9145554562,100.0,S10_2016,Motorcycles,4,34,4043.96,Shipped,NORTHAME,2004
7586 Pompton St.,Allentown,Kyung,Yu,USA,Diecast Classics Inc.,Medium,11,118,11/2/2004 0:00,4,10318,2155551555,100.0,S10_2016,Motorcycles,4,45,5566.5,Shipped,NORTHAME,2004
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Medium,11,118,11/15/2004 0:00,2,10329,2125557818,100.0,S10_2016,Motorcycles,4,20,3176.0,Shipped,NORTHAME,2004
2-2-8 Roppongi,Minato-ku,Akiko,Shimamura,Japan,"Tokyo Collectables, Ltd",Small,11,118,11/23/2004 0:00,4,10339,+81 3 3584 0555,68.92,S10_2016,Motorcycles,4,40,2756.8,Shipped,ASIA,2004
"Monitor Money Building, 815 Pacific Hwy",Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Small,12,118,12/17/2004 0:00,8,10361,+61 2 9495 8555,51.15,S10_2016,Motorcycles,4,26,1329.9,Shipped,AUSTRALIA,2004
31 Duncan St. West End,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co",Medium,2,118,2/2/2005 0:00,5,10374,61-7-3844-6555,100.0,S10_2016,Motorcycles,1,39,5288.01,Shipped,AUSTRALIA,2005
1785 First Street,New Bedford,Violeta,Benitez,USA,FunGiftIdeas.com,Small,3,118,3/3/2005 0:00,5,10388,5085552555,44.51,S10_2016,Motorcycles,1,50,2225.5,Shipped,NORTHAME,2005
"25, rue Lauriston",Paris,Dominique,Perrier,France,Auto Canal Petit,Medium,4,118,4/7/2005 0:00,1,10402,(1) 47.55.6555,100.0,S10_2016,Motorcycles,2,45,5833.8,Shipped,EMEA,2005
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Medium,5,118,5/13/2005 0:00,5,10417,(91) 555 94 44,100.0,S10_2016,Motorcycles,2,45,5887.35,Disputed,EMEA,2005
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Medium,2,193,2/24/2003 0:00,4,10107,2125557818,100.0,S10_4698,Motorcycles,1,27,6065.55,Shipped,NORTHAME,2003
636 St Kilda Road,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.",Large,4,193,4/29/2003 0:00,2,10120,03 9520 4555,100.0,S10_4698,Motorcycles,2,46,9264.86,Shipped,AUSTRALIA,2003
27 rue du Colonel Pierre Avia,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Large,7,193,7/1/2003 0:00,4,10134,+33 1 46 62 7555,100.0,S10_4698,Motorcycles,3,31,7023.98,Shipped,EMEA,2003
78934 Hillside Dr.,Pasadena,Julie,Young,USA,Toys4GrownUps.com,Medium,8,193,8/25/2003 0:00,8,10145,6265557265,100.0,S10_4698,Motorcycles,3,33,5176.38,Shipped,NORTHAME,2003
7734 Strong St.,San Francisco,Julie,Brown,USA,Corporate Gift Ideas Co.,Medium,10,193,10/10/2003 0:00,16,10159,6505551386,100.0,S10_4698,Motorcycles,4,22,4132.7,Shipped,NORTHAME,2003
9408 Furth Circle,Burlingame,Juri,Hirano,USA,Technics Stores Inc.,Medium,10,193,10/28/2003 0:00,3,10168,6505556809,100.0,S10_4698,Motorcycles,4,20,4183.0,Shipped,NORTHAME,2003
"184, chausse de Tournai",Lille,Martine,Rance,France,Daedalus Designs Imports,Large,11,193,11/11/2003 0:00,11,10180,20.16.1555,100.0,S10_4698,Motorcycles,4,41,8892.9,Shipped,EMEA,2003
"Drammen 121, PR 744 Sentrum",Bergen,Veysel,Oeztan,Norway,Herkku Gifts,Large,11,193,11/18/2003 0:00,3,10188,+47 2267 3215,100.0,S10_4698,Motorcycles,4,45,8714.7,Shipped,EMEA,2003
5557 North Pendale Street,San Francisco,Julie,Murphy,USA,Mini Wheels Co.,Large,12,193,12/1/2003 0:00,4,10201,6505555787,100.0,S10_4698,Motorcycles,4,49,8065.89,Shipped,NORTHAME,2003
"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Mory,Kentary,Japan,Osaka Souveniers Co.,Medium,1,193,1/12/2004 0:00,1,10210,+81 06 6342 5555,100.0,S10_4698,Motorcycles,1,34,6123.4,Shipped,ASIA,2004
636 St Kilda Road,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.",Large,2,193,2/20/2004 0:00,3,10223,03 9520 4555,100.0,S10_4698,Motorcycles,1,49,9774.03,Shipped,AUSTRALIA,2004
2678 Kingston Rd.,NYC,Michael,Frick,USA,Vitachrome Inc.,Large,4,193,4/5/2004 0:00,9,10237,2125551500,100.0,S10_4698,Motorcycles,2,39,7023.9,Shipped,NORTHAME,2004
7476 Moss Rd.,Newark,William,Brown,USA,Tekni Collectables Inc.,Large,5,193,5/18/2004 0:00,4,10251,2015559350,100.0,S10_4698,Motorcycles,2,43,7078.23,Shipped,NORTHAME,2004
25593 South Bay Ln.,Bridgewater,Julie,King,USA,Gift Depot Inc.,Large,6,193,6/28/2004 0:00,4,10263,2035552570,100.0,S10_4698,Motorcycles,2,41,8336.94,Shipped,NORTHAME,2004
"67, rue des Cinquante Otages",Nantes,Janine,Labrune,France,La Rochelle Gifts,Medium,7,193,7/23/2004 0:00,3,10275,40.67.8555,100.0,S10_4698,Motorcycles,3,36,6901.92,Shipped,EMEA,2004
39323 Spinnaker Dr.,Cambridge,Marta,Hernandez,USA,Marta's Replicas Co.,Medium,8,193,8/27/2004 0:00,8,10285,6175558555,100.0,S10_4698,Motorcycles,3,27,5438.07,Shipped,NORTHAME,2004
Keskuskatu 45,Helsinki,Matti,Karttunen,Finland,"Toys of Finland, Co.",Medium,9,193,9/30/2004 0:00,11,10299,90-224 8555,100.0,S10_4698,Motorcycles,3,29,6683.34,Shipped,EMEA,2004
3758 North Pendale Street,White Plains,Steve,Frick,USA,Mini Classics,Medium,10,193,10/15/2004 0:00,1,10308,9145554562,100.0,S10_4698,Motorcycles,4,20,4570.4,Shipped,NORTHAME,2004
7586 Pompton St.,Allentown,Kyung,Yu,USA,Diecast Classics Inc.,Large,11,193,11/2/2004 0:00,3,10318,2155551555,100.0,S10_4698,Motorcycles,4,37,7667.14,Shipped,NORTHAME,2004
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Medium,11,193,11/15/2004 0:00,3,10329,2125557818,100.0,S10_4698,Motorcycles,4,26,5868.2,Shipped,NORTHAME,2004
2-2-8 Roppongi,Minato-ku,Akiko,Shimamura,Japan,"Tokyo Collectables, Ltd",Small,11,193,11/23/2004 0:00,3,10339,+81 3 3584 0555,76.67,S10_4698,Motorcycles,4,39,2990.13,Shipped,ASIA,2004
9408 Furth Circle,Burlingame,Juri,Hirano,USA,Technics Stores Inc.,Medium,1,193,1/5/2005 0:00,4,10362,6505556809,100.0,S10_4698,Motorcycles,1,22,3664.1,Shipped,NORTHAME,2005
31 Duncan St. West End,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co",Medium,2,193,2/2/2005 0:00,1,10374,61-7-3844-6555,100.0,S10_4698,Motorcycles,1,22,3834.38,Shipped,AUSTRALIA,2005
1785 First Street,New Bedford,Violeta,Benitez,USA,FunGiftIdeas.com,Small,3,193,3/3/2005 0:00,7,10388,5085552555,86.77,S10_4698,Motorcycles,1,21,1822.17,Shipped,NORTHAME,2005
Berkeley Gardens 12  Brewery,Liverpool,Elizabeth,Devon,UK,"UK Collectables, Ltd.",Large,4,193,4/8/2005 0:00,9,10403,(171) 555-2282,100.0,S10_4698,Motorcycles,2,66,11886.6,Shipped,EMEA,2005
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Large,5,193,5/13/2005 0:00,4,10417,(91) 555 94 44,100.0,S10_4698,Motorcycles,2,56,9218.16,Disputed,EMEA,2005
Vinb'ltet 34,Kobenhavn,Jytte,Petersen,Denmark,Danish Wholesale Imports,Large,2,136,2/11/2003 0:00,2,10105,31 12 3555,100.0,S10_4757,Classic Cars,1,50,7208.0,Shipped,EMEA,2003
Geislweg 14,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Medium,4,136,4/28/2003 0:00,11,10119,6562-9555,100.0,S10_4757,Classic Cars,2,46,5004.8,Shipped,EMEA,2003
35 King George,London,Ann,Brown,UK,"Stylish Desk Decors, Co.",Medium,6,136,6/12/2003 0:00,2,10129,(171) 555-0297,100.0,S10_4757,Classic Cars,2,33,4398.24,Shipped,EMEA,2003
4575 Hillside Dr.,New Bedford,Wing C,Tam,USA,Mini Creations Ltd.,Medium,8,136,8/10/2003 0:00,15,10143,5085559555,100.0,S10_4757,Classic Cars,3,49,5597.76,Shipped,NORTHAME,2003
Keskuskatu 45,Helsinki,Matti,Karttunen,Finland,"Toys of Finland, Co.",Medium,10,136,10/6/2003 0:00,13,10155,90-224 8555,100.0,S10_4757,Classic Cars,4,32,4526.08,Shipped,EMEA,2003
?kergatan 24,Boras,Maria,Larsson,Sweden,Scandinavian Gift Ideas,Medium,10,136,10/23/2003 0:00,9,10167,0695-34 6555,100.0,S10_4757,Classic Cars,4,44,5924.16,Cancelled,EMEA,2003
1 rue Alsace-Lorraine,Toulouse,Annette,Roulet,France,Alpha Cognac,Medium,11,136,11/8/2003 0:00,12,10178,61.77.6555,100.0,S10_4757,Classic Cars,4,24,3492.48,Shipped,EMEA,2003
120 Hanover Sq.,London,Thomas,Hardy,UK,"Double Decker Gift Stores, Ltd",Medium,11,136,11/14/2003 0:00,9,10186,(171) 555-7555,100.0,S10_4757,Classic Cars,4,26,3854.24,Shipped,EMEA,2003
"Rambla de Catalu¤a, 23",Barcelona,Eduardo,Saavedra,Spain,Enaco Distributors,Medium,11,136,11/26/2003 0:00,6,10197,(93) 203 4555,100.0,S10_4757,Classic Cars,4,45,5324.4,Shipped,EMEA,2003
6047 Douglas Av.,Los Angeles,Michael,Chandler,USA,"Men 'R' US Retailers, Ltd.",Medium,1,136,1/9/2004 0:00,8,10209,2155554369,100.0,S10_4757,Classic Cars,1,39,5197.92,Shipped,NORTHAME,2004
361 Furth Circle,San Diego,Valarie,Thompson,USA,Collectable Mini Designs Co.,Medium,2,136,2/19/2004 0:00,12,10222,7605558146,100.0,S10_4757,Classic Cars,1,49,5997.6,Shipped,NORTHAME,2004
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Small,5,136,5/7/2004 0:00,3,10248,2125557818,100.0,S10_4757,Classic Cars,2,20,2910.4,Cancelled,NORTHAME,2004
43 rue St. Laurent,Montreal,Jean,Fresnisre,Canada,Quebec Home Shopping Network,Medium,6,136,6/17/2004 0:00,1,10261,(514) 555-8054,100.0,S10_4757,Classic Cars,2,27,3378.24,Shipped,NORTHAME,2004
